Unnamed: 0;n_ships;own_mmsi;obst_mmsi;own_name;obst_name;own_callsign;obst_callsign;own_length;obst_length;own_width;obst_width;own_type;obst_type;own_nav_status;obst_nav_status;own_speed;obst_speed;multi_man_own;maneuver_made_own;maneuver_index_own;maneuver_stop_idx_own;r_maneuver_own;pre_man_dist_own;pre_man_t_cpa_own;post_man_dist_own;post_man_t_cpa_own;delta_speed_own;delta_course_own;multi_man_obst;maneuver_made_obst;maneuver_index_obst;maneuver_stop_idx_obst;r_maneuver_obst;pre_man_dist_obst;pre_man_t_cpa_obst;post_man_dist_obst;post_man_t_cpa_obst;delta_speed_obst;delta_course_obst;alpha_start;beta_start;r_cpa;alpha_cpa;beta_cpa;lon_maneuver;lat_maneuver;COLREG;single_COLREG_type;time;date_cpa;cpa_idx;start_idx;stop_idx;case;dataset;COLREGS_not_filt;COLREGS_filt;img_name;img_class
1647;41;258592000;257145220;258592000;;;;0.0;12.2;0.0;;0.0;;0.0;0.0;6.505456912878788;3.619927793560606;False;True;11;19;505.6152786457299;461.9;0.0;1157.6;0.0;-0.0182695956792424;12.577775529597888;False;True;3;8;1824.832184065154;1103.7;6.0;586.7;9.0;0.0346977334105405;6.173551901880839;-174.75070292427554;6.124297075724422;282.7694644051629;-79.60556485928353;98.76943514071644;10.155191;64.187682;-2.0;True;00:11:00;2019-09-14 19:30:00;14;1;12;DG8PF;encs_north;2;2.0;./img/258592000-257145220-DG8PF_-2.0.png;False
1658;57;257029850;257303240;;RAMSOYFJORD;;LK5687;;0.0;;;;;0.0;0.0;19.285483440170943;3.898060563568376;False;True;4;9;13270.229741040654;9338.0;12.0;6603.0;14.0;-0.5273325896913157;28.87993641668817;False;False;9;9;8911.602604470194;;;;;0.0;0.0;126.84287527604424;26.092875276044207;2916.1832487002566;-144.04406792249094;295.58093207750903;8.285009;63.487849;-2.0;True;00:13:00;2020-10-01 07:06:00;16;3;16;1BN1Y;encs_north;1;1.0;./img/257029850-257303240-1BN1Y_-2.0.png;False
1686;17;259134000;257066870;;;;;37.65;;;;;;0.0;0.0;5.204395978009259;4.451150173611111;False;True;6;11;946.5306598309422;949.9;0.0;846.3;0.0;0.0800868710448985;-8.907011109906017;False;False;7;7;907.8895307249672;;;;;0.0;0.0;-175.56883658318458;4.431163416815419;628.7456719532945;-76.5503960250584;99.2621039749416;7.197875;63.032735;-2.0;True;00:12:00;2020-10-01 08:08:00;27;1;13;XF9EB;encs_north;1;3.0;./img/259134000-257066870-XF9EB_-2.0.png;True
1697;15;257088400;257076330;;;;;;14.99;;;;;0.0;0.0;9.388611111111112;2.4078411458333333;False;False;22;22;3177.007510220899;;;;;0.0;0.0;False;True;25;33;1988.8949419212668;1794.1;27.0;1269.2;0.0;0.2600302636648159;-16.479972064503688;144.01398088838496;359.763980888385;1016.3886313807334;-117.77244647749286;32.97755352250712;8.726716;63.893781;-2.0;True;00:10:00;2020-10-01 11:57:00;31;17;27;SSMCM;encs_north;3;2.0;;
1702;15;257175640;257076330;;;;;10.54;14.99;;;;;0.0;0.0;3.2607244925213674;1.9589234441773504;False;True;11;16;2297.807148130581;1975.7;21.0;1910.8;23.0;-0.10240499794283;-5.819286539607197;False;False;7;7;2541.4529958273856;;;;;0.0;0.0;178.93046133995176;23.430461339951712;858.238667271523;-94.12732837451892;76.49767162548106;8.632142;63.88974;-2.0;True;00:13:00;2020-10-01 11:51:00;25;1;14;SSMCM;encs_north;2;3.0;./img/257175640-257076330-SSMCM_-2.0.png;False
1730;52;257906000;259503000;GAASOE VIKING;KRANSVIK JR;LGUY;LJDJ;78.0;28.0;;;;;0.0;0.0;5.779908371913581;4.436636766975309;False;False;5;5;812.0766589429811;;;;;0.0;0.0;False;False;5;5;812.0766589429811;;;;;0.0;0.0;162.8353643946175;344.0853643946175;421.27042383723096;101.7524619530454;279.37746195304544;8.399382;63.369;-2.0;True;00:09:00;2020-10-02 11:28:00;13;1;10;811T9;encs_north;1;1.0;;
1736;44;257475500;258283730;EMMA;258283730;LCSR;;21.21;0.0;;0.0;;0.0;0.0;0.0;4.305601438492064;1.962467757936508;False;True;6;11;3115.5953283441672;1174.5;14.0;2068.2;17.0;-0.1582072120893625;21.613045881843604;False;True;3;9;3266.23130381178;1346.2;12.0;1594.6;15.0;0.7262212714314762;50.01302388660453;178.24725787844372;328.74725787844375;2913.469038792072;111.94813520164898;285.32313520164894;6.85373;62.8727;-2.0;True;00:07:00;2020-10-03 11:27:00;10;1;8;3O037;encs_north;1;1.0;./img/257475500-258283730-3O037_-2.0.png;False
1776;90;257121400;257053650;HALTBAKK BUNKERSERV.;MULTI INNOVATOR;LLOB;LFIY;35.21;19.0;;;;;0.0;0.0;4.187899305555556;3.817338541666666;False;True;10;15;5033.991061771962;4994.7;11.0;5233.5;0.0;0.0339648353034078;15.060443885842744;False;False;10;10;5033.991061771962;;;;;0.0;0.0;-128.94262848613184;337.43237151386813;4926.728725026378;-142.56724373957067;316.6827562604293;8.265181;63.43281;-2.0;True;00:05:00;2020-10-13 11:35:00;12;8;13;W3TYK;encs_north;1;1.0;./img/257121400-257053650-W3TYK_-2.0.png;False
1785;72;257126640;258729000;;EIDSVAAG PIONER;;LFTA;;75.0;;;;;0.0;0.0;16.46222222222222;7.253800636574074;False;True;4;11;6280.173249998756;7256.0;0.0;5779.9;0.0;0.6842077631780246;-15.13784513726891;False;False;4;4;6280.173249998756;;;;;0.0;0.0;146.36347735656443;321.61347735656443;4540.013626631541;-128.36902890606078;77.8184710939392;9.940313;64.0797;-2.0;True;00:06:00;2020-10-14 07:49:00;10;1;7;7QHUP;encs_north;1;1.0;./img/257126640-258729000-7QHUP_-2.0.png;False
1787;72;257333000;257875500;TERNINGEN;;LGJQ;;41.0;;;;;;0.0;0.0;14.073873697916667;2.8294444444444444;False;False;5;5;4899.066528431719;;;;;0.0;0.0;False;True;6;15;4014.6581685119854;415.8;9.0;4216.2;0.0;0.1496736277793617;-18.400883730891188;149.04065102807942;11.63440102807943;2286.775030474147;-111.86848078478695;85.53776921521305;9.08925;63.504167;-2.0;True;00:08:00;2020-10-14 07:58:00;19;1;9;7QHUP;encs_north;1;1.0;;
1790;43;257089310;257306400;;FROYAFERGA;;LDAO;;36.76;;;;;0.0;0.0;9.528475694444444;5.175793402777778;False;True;7;12;5303.21884613486;5795.0;0.0;4936.1;0.0;-2.8066952651321824;-17.445986315325968;False;True;9;16;4687.950491419465;5158.8;0.0;3304.6;0.0;-0.2529402911443155;38.52911368566545;145.88092254058307;21.25592254058306;3099.82000929086;135.6154615859903;104.36546158599027;8.646918;63.866454;-2.0;True;00:05:00;2020-10-16 12:43:00;17;5;10;QVCH5;encs_north;1;2.0;./img/257089310-257306400-QVCH5_-2.0.png;False
1791;43;257089310;257306400;;FROYAFERGA;;LDAO;;36.76;;;;;0.0;0.0;9.989868055555556;4.979661458333334;False;True;14;19;3920.510269084881;4165.0;0.0;3432.2;0.0;-8.149005401361004;-68.86513890864619;False;False;14;14;3920.510269084881;;;;;0.0;0.0;118.38534111356628;27.13534111356625;3099.82000929086;135.6154615859903;104.36546158599027;8.586604;63.870659;-2.0;True;00:05:00;2020-10-16 12:43:00;17;12;17;QVCH5;encs_north;1;1.0;./img/257089310-257306400-QVCH5_-2.0.png;False
1798;43;259134000;257878600;;;;;37.65;;;;;;0.0;0.0;5.422565972222222;4.115957465277779;False;True;4;9;4989.871551453002;4966.1;0.0;4693.2;0.0;0.0058406987777583;2.194565408095433;False;False;4;4;4989.871551453002;;;;;0.0;0.0;133.40211183282125;318.1521118328213;4697.745528442332;132.19508163128054;308.1950816312806;8.981097;63.692511;-2.0;True;00:05:00;2020-10-16 12:35:00;9;2;7;QVCH5;encs_north;1;1.0;./img/259134000-257878600-QVCH5_-2.0.png;False
1871;9;257644000;257183440;WITH MARINE;;LJHU;;70.0;;;;;;0.0;0.0;6.699575772849464;3.70573728718638;True;False;16;16;3145.021426000148;;;;;0.0;0.0;True;True;12;17;3859.3821176452593;1945.3;21.0;1431.6;23.0;0.0568407069546628;-9.666772304998076;174.04616039062475;1.5461603906247208;364.1798731396338;84.68960874336378;265.8146087433637;10.105614;64.145143;-2.0;True;00:31:00;2019-11-24 20:36:00;34;1;32;LVTSY;encs_north;2;2.0;;
1872;9;257644000;257457600;WITH MARINE;;LJHU;;70.0;14.99;;;;;0.0;0.0;6.697574327256945;3.667489013671875;True;False;17;17;3010.6386448725475;;;;;0.0;0.0;True;True;12;17;3912.0510132154473;1939.8;21.0;1419.5;23.0;0.0234190734307944;-8.990062820665653;173.42450448947113;1.6745044894710768;350.85182057387;93.8995745963737;275.1495745963737;10.10072;64.1422;-2.0;True;00:32:00;2019-11-24 20:36:00;34;1;33;LVTSY;encs_north;2;2.0;;
