Unnamed: 0;n_ships;own_mmsi;obst_mmsi;own_name;obst_name;own_callsign;obst_callsign;own_length;obst_length;own_width;obst_width;own_type;obst_type;own_nav_status;obst_nav_status;own_speed;obst_speed;multi_man_own;maneuver_made_own;maneuver_index_own;maneuver_stop_idx_own;r_maneuver_own;pre_man_dist_own;pre_man_t_cpa_own;post_man_dist_own;post_man_t_cpa_own;delta_speed_own;delta_course_own;multi_man_obst;maneuver_made_obst;maneuver_index_obst;maneuver_stop_idx_obst;r_maneuver_obst;pre_man_dist_obst;pre_man_t_cpa_obst;post_man_dist_obst;post_man_t_cpa_obst;delta_speed_obst;delta_course_obst;alpha_start;beta_start;r_cpa;alpha_cpa;beta_cpa;lon_maneuver;lat_maneuver;COLREG;single_COLREG_type;time;date_cpa;cpa_idx;start_idx;stop_idx;case;dataset;COLREGS_not_filt;COLREGS_filt;img_name;img_class
41305;113;258352500;305269000;ADMIRALEN;NAOS;LFJJ;V2QQ8;34.0;90.46;;;;;0.0;0.0;17.706534722222223;5.48365625;False;False;3;3;3925.068377748334;;;;;0.0;0.0;False;False;3;3;3925.068377748334;;;;;0.0;0.0;43.88577421262553;302.0107742126255;296.4495235280436;70.15090214541819;60.0884021454182;5.169177;60.3577;-1.0;True;00:05:00;2020-10-08 13:35:00;6;1;6;R096N;encs_west;4;4.0;;
41356;112;257004910;258998000;;TJELDEN;;LFNL;10.65;25.7;;;;;0.0;0.0;4.081058304398148;9.422103587962964;False;False;6;6;3222.712647754988;;;;;0.0;0.0;False;True;7;12;2555.4861494439765;251.5;10.0;317.2;0.0;-3.079556550647961;8.281782453097598;24.442401377864297;310.25490137786426;295.23863229596367;-43.7000317187403;178.2374682812597;5.204877;60.100874;-1.0;True;00:06:00;2020-10-08 14:44:00;12;3;9;1CQJF;encs_west;1;1.0;;
41363;112;257055930;257042930;HUFTAROY;HUSAVIK;LEWQ;LETP;134.0;66.4;;;;;0.0;0.0;8.46421875;6.492449652777777;False;False;6;6;1296.028919430427;;;;;0.0;0.0;False;True;2;5;2013.105881467739;282.0;6.0;522.4;11.0;-0.0416861316293069;-11.307125980155051;61.48427138286936;300.98427138286934;52.522376183875686;-105.37871294475448;143.99628705524546;5.329554;60.004029;-1.0;True;00:10:00;2020-10-08 14:50:00;18;1;11;1CQJF;encs_west;1;1.0;;
41383;112;258161000;257175000;SEIVAAG;RYGERFONN;LHDO;JWMA;56.0;26.0;;;;;0.0;0.0;6.2967196180555565;13.786709201388888;False;False;6;6;6479.716913569595;;;;;0.0;0.0;False;True;2;4;10322.185360184149;3506.6;20.0;3799.2;11.0;7.565016780987172;13.061624248491608;74.12107579561166;310.97263829561166;347.4849637034645;-17.18494882292285;289.8150511770771;5.167843;60.35905;-1.0;True;00:10:00;2020-10-08 14:43:00;11;1;11;1CQJF;encs_west;2;2.0;;
41384;112;258161000;258558000;SEIVAAG;ROSLAGEN;LHDO;JWNZ;56.0;55.0;;;;;0.0;0.0;6.266576388888889;5.329322916666667;False;False;3;3;327.1512188575789;;;;;0.0;0.0;False;True;2;10;371.97936770740233;133.6;4.0;396.0;0.0;0.1600558789819768;-9.782439149294;93.0562771636348;294.1578396636348;245.0071835681588;54.39009670655303;240.89009670655304;5.167767;60.348855;-1.0;True;00:05:00;2020-10-08 14:38:00;6;1;6;1CQJF;encs_west;2;2.0;;
41391;112;258558000;257175000;ROSLAGEN;RYGERFONN;JWNZ;JWMA;55.0;26.0;;;;;0.0;0.0;5.392532354797981;14.002169349747474;True;False;6;6;6420.654337370916;;;;;0.0;0.0;True;False;6;6;6420.654337370916;;;;;0.0;0.0;74.87822555831272;290.6282255583127;598.4955973104454;25.943820387796286;335.1938203877962;5.171546;60.358036;-1.0;True;00:11:00;2020-10-08 14:43:00;11;1;12;1CQJF;encs_west;2;2.0;;
41402;87;257004910;258998000;;TJELDEN;;LFNL;10.65;25.7;;;;;0.0;0.0;4.056704489087301;9.420763888888889;False;True;2;7;4955.538366312999;147.3;9.0;427.1;9.0;0.1098794973064229;21.90214006001073;False;True;6;11;2548.7802121799555;251.5;9.0;317.2;0.0;-3.079556550647961;8.1035311293061;21.943562685771266;309.63106268577127;293.45667482611384;-43.98309362770959;177.9544063722904;5.201071;60.107014;-1.0;True;00:07:00;2020-10-08 14:44:00;11;1;8;312WQ;encs_west;1;1.0;./img/257004910-258998000-312WQ_-1.0.png;False
41406;87;257055930;257042930;HUFTAROY;HUSAVIK;LEWQ;LETP;134.0;66.4;;;;;0.0;0.0;8.461539351851853;6.487716049382717;False;False;5;5;1284.9391269628354;;;;;0.0;0.0;False;True;3;13;1622.9165104835183;635.8;10.0;337.6;14.0;-1.0363446045565547;-7.175500147080672;97.35523344026733;299.48023344026734;52.11237856787317;-105.71071669061472;143.6642833093853;5.329554;60.004029;-1.0;True;00:09:00;2020-10-08 14:50:00;17;1;10;312WQ;encs_west;1;1.0;;
41501;124;258029000;257007520;MOLLY;SANDTROLL;LEOB;LETI;25.37;54.0;;;;;0.0;0.0;4.463207465277778;4.373280164930556;False;True;6;11;2364.0814981721846;357.1;11.0;1024.0;0.0;0.178210103804727;26.96662479062838;False;True;2;8;3296.33412899844;1876.3;20.0;234.3;10.0;0.0019891309683113;81.88783658527981;109.13751571829675;316.63751571829675;903.7267839341582;-30.00692813288996;245.33682186711;5.171308;60.348009;-1.0;True;00:08:00;2020-10-08 15:52:00;10;1;9;4LKZB;encs_west;1;1.0;./img/258029000-257007520-4LKZB_-1.0.png;False
41502;124;258033200;257007520;NORDNES;SANDTROLL;JWCH;LETI;15.0;54.0;;;;;0.0;0.0;6.080894097222222;4.352682291666667;False;False;7;7;7080.87331407645;;;;;0.0;0.0;False;False;7;7;7080.87331407645;;;;;0.0;0.0;99.17812501824024;309.9906250182402;203.71239530279905;127.57037339417168;120.1953733941717;5.153521;60.393818;-1.0;True;00:05:00;2020-10-08 16:00:00;18;5;10;4LKZB;encs_west;1;2.0;;
41512;124;259665000;314438000;EDDA FAUNA;WILSON THAMES;JWMZ3;8PAM7;109.0;90.0;;;;;0.0;0.0;6.128549107142858;4.923681175595239;False;False;6;6;4976.584858113037;;;;;0.0;0.0;False;True;6;11;4976.584858113037;574.7;13.0;725.1;12.0;0.4012803553191686;27.84962603502866;35.3308545003656;349.67460450036555;773.1934428071786;-55.20869116320555;270.1663088367945;5.162278;60.229336;-1.0;True;00:07:00;2020-10-08 15:55:00;13;3;10;4LKZB;encs_west;1;1.0;;
