Unnamed: 0;n_ships;own_mmsi;obst_mmsi;own_name;obst_name;own_callsign;obst_callsign;own_length;obst_length;own_width;obst_width;own_type;obst_type;own_nav_status;obst_nav_status;own_speed;obst_speed;multi_man_own;maneuver_made_own;maneuver_index_own;maneuver_stop_idx_own;r_maneuver_own;pre_man_dist_own;pre_man_t_cpa_own;post_man_dist_own;post_man_t_cpa_own;delta_speed_own;delta_course_own;multi_man_obst;maneuver_made_obst;maneuver_index_obst;maneuver_stop_idx_obst;r_maneuver_obst;pre_man_dist_obst;pre_man_t_cpa_obst;post_man_dist_obst;post_man_t_cpa_obst;delta_speed_obst;delta_course_obst;alpha_start;beta_start;r_cpa;alpha_cpa;beta_cpa;lon_maneuver;lat_maneuver;COLREG;single_COLREG_type;time;date_cpa;cpa_idx;start_idx;stop_idx;case;dataset;COLREGS_not_filt;COLREGS_filt;img_name;img_class
28908;13;314018000;232005200;314018000;232005200;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.791470486111112;3.3028940972222225;False;True;3;9;773.7329319603778;316.2;0.0;872.5;0.0;-0.3919443805755089;-33.795608430097005;False;False;3;3;773.7329319603778;;;;;0.0;0.0;-172.45042170841936;354.44801579158064;212.8905822247671;95.03780127610038;267.2253012761004;5.155672;60.253983;-2.0;True;00:05:00;2019-08-05 08:53:00;7;1;6;Y5TBN;encs_west;2;2.0;./img/314018000-232005200-Y5TBN_-2.0.png;False
28920;21;257060530;9116162;;;;;14.9;;;;;;0.0;0.0;15.229163194444444;2.8603914930555563;False;True;7;13;3781.329514866432;4854.2;0.0;1468.6;0.0;-0.8696248570552543;44.05768381426631;False;False;8;8;3056.528897295099;;;;;0.0;0.0;156.93047876463066;8.630674077130655;810.8386892594617;111.63059090190282;255.38059090190285;5.166147;60.362216;-2.0;True;00:05:00;2019-08-05 10:17:00;12;6;11;NOZHW;encs_west;2;2.0;./img/257060530-9116162-NOZHW_-2.0.png;False
28921;21;257060530;259119000;;SVEALAND;;LAZY;14.9;69.2;;;;;0.0;0.0;15.048839699074074;5.298509837962963;False;True;7;13;2983.992642417204;4072.0;0.0;824.3;0.0;-0.8696248570552543;44.05768381426631;False;True;7;15;2983.992642417204;4072.0;0.0;804.1;0.0;0.7034230484993182;-0.6461472711098872;135.39393786423312;0.3441331767331168;246.9528295039365;59.46417919067377;241.9641791906737;5.166147;60.362216;-2.0;True;00:06:00;2019-08-05 10:17:00;12;6;12;NOZHW;encs_west;2;2.0;./img/257060530-259119000-NOZHW_-2.0.png;False
28924;21;259119000;9116162;SVEALAND;;LAZY;;69.2;;;;;;0.0;0.0;5.075449942129629;2.8723148148148154;False;True;7;15;905.3157294557524;604.6;11.0;1473.8;0.0;0.7034230484993182;-0.6461472711098872;False;True;6;15;1018.3670065354634;971.6;7.0;1473.8;0.0;-0.2987019879765284;-7.7184316215531;-161.73854467222975;329.7614553277703;494.2881952869194;139.23730786880753;286.9873078688076;5.16324;60.38905;-2.0;True;00:06:00;2019-08-05 10:16:00;11;5;11;NOZHW;encs_west;1;1.0;./img/259119000-9116162-NOZHW_-2.0.png;False
28926;23;258482000;257083200;;KV TOR;;LBHT;22.638;47.2;;;;;0.0;0.0;4.034950327932099;3.000925925925926;False;True;9;14;4856.928972097496;5026.2;0.0;5482.2;0.0;-3.3862345067753146;134.01900610225178;False;True;9;19;4856.928972097496;5026.2;0.0;;0.0;-0.0412153668658685;23.828397819953626;153.892973067385;338.877348067385;4845.627795239743;146.59414417433155;311.5863316743316;5.81925;59.139;-2.0;True;00:09:00;2019-08-05 11:33:00;10;1;10;PAY4H;encs_west;1;1.0;./img/258482000-257083200-PAY4H_-2.0.png;False
28953;21;248723000;211456820;IMAGINE B;211456820;9HB5924;;34.0;0.0;;0.0;;0.0;0.0;0.0;5.183630642361111;3.086917860243056;False;True;5;10;656.4779508863924;752.8;0.0;72.8;0.0;0.0198085378607375;30.54681035739023;False;False;6;6;524.4522952566743;;;;;0.0;0.0;130.80874042916437;346.80874042916435;133.927331041876;-115.71382644912076;70.66117355087921;5.270162;60.401145;-2.0;True;00:08:00;2019-08-06 08:57:00;10;2;10;KZKXX;encs_west;3;3.0;./img/248723000-211456820-KZKXX_-2.0.png;False
28971;21;248723000;211456820;IMAGINE B;211456820;9HB5924;;34.0;0.0;;0.0;;0.0;0.0;0.0;5.186243055555556;3.107565972222222;False;False;3;3;403.7535139166002;;;;;0.0;0.0;False;False;3;3;403.7535139166002;;;;;0.0;0.0;144.44875759888671;3.698757598886686;133.9215441965917;-115.67111597254512;70.70388402745492;5.259615;60.403073;-2.0;True;00:05:00;2019-08-06 08:57:00;6;1;6;DY489;encs_west;3;3.0;;
28998;45;259538000;267210161;LYSBRIS SEAWAYS;267210161;LJLN3;;129.0;0.0;;0.0;;0.0;0.0;0.0;7.511692708333334;2.5464330150462966;False;False;7;7;3890.078704859337;;;;;0.0;0.0;False;False;7;7;3890.078704859337;;;;;0.0;0.0;-162.1746232003419;29.325376799658155;2512.068486327551;-95.4751926494403;87.64980735055974;4.823382;60.69085;-2.0;True;00:06:00;2019-08-06 14:51:00;17;4;10;SGBM6;encs_west;1;1.0;;
29018;45;258131870;259538000;;LYSBRIS SEAWAYS;;LJLN3;;129.0;;;;;0.0;0.0;13.956028025793652;7.602122395833334;True;False;8;8;2564.6445153276136;;;;;0.0;0.0;True;True;2;6;5378.773261627604;1304.6;12.0;2042.8;10.0;0.1326529934585369;11.359491057676756;156.70832728045917;355.4583272804592;198.85886955325907;-77.20613409174655;115.23136590825344;5.065891;60.422504;-2.0;True;00:14:00;2019-08-06 16:07:00;15;1;15;T6AKN;encs_west;2;2.0;;
29020;45;258352500;257568600;ADMIRALEN;VIBEKE HELENE;LFJJ;LLMQ;34.0;27.3;;;;;0.0;0.0;10.3655029296875;2.154173312717014;True;True;11;7;3313.0481689827484;1316.5;14.0;3949.6;0.0;0.0;0.0;True;True;14;18;951.0218188874532;284.6;0.0;238.2;0.0;-1.4391898387888578;23.875042720800163;-135.56989273683703;22.930107263162952;87.23783582826738;-129.10253592983082;100.7724640701692;5.247157;60.4026;-2.0;True;00:08:00;2019-08-06 16:10:00;18;10;18;T6AKN;encs_west;1;1.0;./img/258352500-257568600-T6AKN_-2.0.png;False
29026;49;257036840;205821930;HORGEFJORD;205821930;LEWF;;116.0;0.0;;0.0;;0.0;0.0;0.0;6.913651041666666;2.747454861111111;False;False;6;6;4221.299780873182;;;;;0.0;0.0;False;True;7;13;4053.160191751619;3517.7;10.0;3716.7;0.0;-0.0505629785252179;5.72702722059843;-157.92304395578003;331.76445604422;3494.2645635383706;149.9174410452686;290.2924410452685;5.218262;60.131255;-2.0;True;00:05:00;2019-08-06 16:50:00;12;4;9;T3PM8;encs_west;2;2.0;;
29029;49;258416000;257282000;EKSPRESSEN;FAR SAPPHIRE;LCBK;LNXW;33.0;93.0;;;;;0.0;0.0;16.081211805555554;5.186243055555555;False;False;3;3;2935.536209962327;;;;;0.0;0.0;False;True;4;6;2468.114365259441;2322.5;0.0;4054.3;0.0;12.492847112754148;5.644429960965339;-123.54307601822931;342.3319239817707;204.59335277569224;44.43768977411012;222.9376897741101;5.16849;60.364;-2.0;True;00:05:00;2019-08-06 16:46:00;8;1;6;T3PM8;encs_west;1;1.0;;
29035;40;257056190;205821930;LYSOY;205821930;LEVT;;134.0;0.0;;0.0;;0.0;0.0;0.0;8.81418936965812;2.477155114850428;False;True;7;13;3661.407430210405;1187.0;13.0;740.4;16.0;-0.1306611832346487;22.70537454131877;False;False;7;7;3661.407430210405;;;;;0.0;0.0;153.18267545279386;4.557675452793855;1179.2011066819657;78.52433812764804;269.02433812764804;5.3503;60.0849;-2.0;True;00:13:00;2019-08-06 18:11:00;16;1;14;5F8A2;encs_west;2;2.0;./img/257056190-205821930-5F8A2_-2.0.png;False
29042;43;257056190;205821930;LYSOY;205821930;LEVT;;134.0;0.0;;0.0;;0.0;0.0;0.0;8.65392013888889;2.6642595486111107;False;False;5;5;2185.380630462346;;;;;0.0;0.0;False;True;7;12;1614.8215814757996;740.4;10.0;1795.1;0.0;-1.3955961573212898;12.826977173822042;152.57236543091085;353.6973654309109;1179.391173445011;78.53006095169216;269.0300609516922;5.33418;60.068;-2.0;True;00:05:00;2019-08-06 18:11:00;10;3;8;YO9MC;encs_west;2;3.0;;
