Unnamed: 0;n_ships;own_mmsi;obst_mmsi;own_name;obst_name;own_callsign;obst_callsign;own_length;obst_length;own_width;obst_width;own_type;obst_type;own_nav_status;obst_nav_status;own_speed;obst_speed;multi_man_own;maneuver_made_own;maneuver_index_own;maneuver_stop_idx_own;r_maneuver_own;pre_man_dist_own;pre_man_t_cpa_own;post_man_dist_own;post_man_t_cpa_own;delta_speed_own;delta_course_own;multi_man_obst;maneuver_made_obst;maneuver_index_obst;maneuver_stop_idx_obst;r_maneuver_obst;pre_man_dist_obst;pre_man_t_cpa_obst;post_man_dist_obst;post_man_t_cpa_obst;delta_speed_obst;delta_course_obst;alpha_start;beta_start;r_cpa;alpha_cpa;beta_cpa;lon_maneuver;lat_maneuver;COLREG;single_COLREG_type;time;date_cpa;cpa_idx;start_idx;stop_idx;case;dataset;COLREGS_not_filt;COLREGS_filt;img_name;img_class
753;9;257502700;257629000;;BIOSTAR;;LDBB;;69.6;;;;;0.0;0.0;1.3615612883391204;5.5214357638888885;True;False;33;33;4193.998438244822;;;;;0.0;0.0;True;False;33;33;4193.998438244822;;;;;0.0;0.0;63.52779366366504;273.777793663665;1129.887273138342;103.16974180588171;332.91974180588176;8.799345;63.650745;-1.0;True;00:15:00;2019-04-07 06:54:00;48;26;41;BIZOQ;encs_north;1;2.0;;
754;9;257502700;257629000;;BIOSTAR;;LDBB;;69.6;;;;;0.0;0.0;2.0137112475198413;5.519942956349206;False;True;46;51;1308.9012376799103;1122.0;48.0;1612.7;0.0;-0.5043994825765965;15.53814038172395;False;False;45;45;1473.064323103373;;;;;0.0;0.0;53.11073637848414;269.61073637848415;1129.887273138342;103.16974180588171;332.91974180588176;8.772833;63.658073;-1.0;True;00:07:00;2019-04-07 06:54:00;48;42;49;BIZOQ;encs_north;1;1.0;./img/257502700-257629000-BIZOQ_-1.0.png;False
759;9;257878600;257743700;;;;;;;;;;;0.0;0.0;3.724095486111112;3.487571614583333;False;False;22;22;366.9844274625274;;;;;0.0;0.0;False;True;21;24;481.9296421678176;486.9;0.0;115.0;25.0;0.9243738740243372;3.68980254126273;105.92257697902646;257.9225769790265;82.76599543290683;7.110705677579954;208.61070567758;8.85029;63.725548;-1.0;True;00:05:00;2019-04-07 06:31:00;25;20;25;BIZOQ;encs_north;1;1.0;;
761;5;257878600;257743700;;;;;;;;;;;0.0;0.0;3.724095486111112;3.487571614583333;False;False;10;10;366.7898171978058;;;;;0.0;0.0;False;False;10;10;366.7898171978058;;;;;0.0;0.0;105.92151013726227;257.9215101372623;82.76599543290818;7.110705677579115;208.61070567757915;8.85029;63.725548;-1.0;True;00:05:00;2019-04-07 06:31:00;13;8;13;3AOEU;encs_north;1;1.0;;
764;8;257046610;229061000;VESTRAATT;SEA CARGO EXPRESS;LETU;9HA3034;66.4;119.0;;;;;0.0;0.0;4.367552951388889;6.121085069444445;False;True;5;12;5267.431611326339;310.2;14.0;737.9;13.0;0.2172619060626632;-9.293175905366116;False;False;6;6;4736.621100531474;;;;;0.0;0.0;33.54682287766571;321.7968228776657;753.3522748356168;138.7237136793742;66.4737136793742;9.67912;63.67535;-1.0;True;00:10:00;2019-04-07 08:49:00;15;1;11;HLRXT;encs_north;1;1.0;./img/257046610-229061000-HLRXT_-1.0.png;True
766;12;236700000;219730000;CONESTE;VESTLAND;ZDQF5;OXQJ2;135.0;69.63;;;;;0.0;0.0;7.788563850308642;3.3464287350501545;True;False;29;29;7772.761846345224;;;;;0.0;0.0;True;False;29;29;7772.761846345224;;;;;0.0;0.0;111.09223850692008;281.27973850692007;235.45795803072832;83.05481377096272;80.30481377096271;7.608238;63.124258;-1.0;True;00:18:00;2019-04-07 12:02:00;42;20;38;RUU3I;encs_north;2;2.0;;
768;12;257257400;259393000;DALSFJORD;PIONEER KNUTSEN;JWZD;LMIK;56.08;69.0;;;;;0.0;0.0;5.676304976851852;6.12823013117284;False;False;5;5;11345.985732848423;;;;;0.0;0.0;False;True;2;8;13257.063663194802;1518.9;22.0;3807.6;22.0;0.0;-18.09344182007748;28.65303476500954;341.7155347650095;4872.585270675104;139.68206150448452;26.68206150448447;8.09044;63.135936;-1.0;True;00:09:00;2019-04-07 11:40:00;20;1;10;RUU3I;encs_north;1;1.0;;
770;12;257700800;259393000;FROY SERVER;PIONEER KNUTSEN;LMVQ;LMIK;25.0;69.0;;;;;0.0;0.0;5.0826964962121215;6.159814551767678;False;False;6;6;7771.523539178146;;;;;0.0;0.0;False;True;2;8;10114.28288164811;1003.2;17.0;2470.4;18.0;0.0;-18.09344182007748;25.859942123516607;338.67244212351653;2794.9795222863418;123.52429358130551;32.149293581305564;8.024015;63.132336;-1.0;True;00:11:00;2019-04-07 11:38:00;18;1;12;RUU3I;encs_north;1;1.0;;
792;33;257333000;257516500;TERNINGEN;;LGJQ;;41.0;29.77;;;;;0.0;0.0;15.39984085648148;4.382155671296296;False;True;4;9;9231.097835577304;1804.6;12.0;2130.6;12.0;2.0627897264207444;-12.81939977963308;False;False;4;4;9231.097835577304;;;;;0.0;0.0;102.18865957896084;336.3136595789608;339.7591205545469;140.105005443016;326.105005443016;7.942104;63.195273;-1.0;True;00:06:00;2019-04-07 17:42:00;14;1;7;VVF0Q;encs_north;3;4.0;./img/257333000-257516500-VVF0Q_-1.0.png;False
803;14;257878600;257518800;;FRU INGER;;LG7567;;15.0;;;;;0.0;0.0;3.744994791666668;4.495762152777777;False;False;21;21;2009.4593327559533;;;;;0.0;0.0;False;True;22;27;1612.12694909551;1057.2;30.0;1031.9;0.0;0.4341221065888438;19.555944955285945;21.50238132360714;266.18988132360715;206.36533139071705;41.59055657556005;23.52805657556005;8.91426;63.71904;-1.0;True;00:05:00;2021-04-07 06:21:00;25;19;24;M19FH;encs_north;1;1.0;;
804;17;257087430;257549000;GRIP;EDOEYFJORD;LFML;3YWT;96.6;67.0;;;;;0.0;0.0;5.371810515873016;2.807052331349207;False;False;4;4;673.8264613385269;;;;;0.0;0.0;False;True;2;8;1095.987490804527;176.0;6.0;459.7;0.0;-0.9790418014452014;-16.598412418771936;97.93382671904936;322.68382671904936;92.56003457216208;-45.33058138160179;28.231918618398204;7.888202;63.12334;-1.0;True;00:07:00;2021-04-07 07:33:00;20;1;8;W4GEA;encs_north;1;1.0;;
878;51;257305440;257381400;;STORDAL;;LICB;;75.0;;;;;0.0;0.0;8.724656249999999;3.971470920138889;False;False;4;4;2654.523582490838;;;;;0.0;0.0;False;True;3;6;2875.4631366094754;428.3;7.0;1295.2;7.0;2.523861224637647;17.24175316931887;79.88434929248452;285.44684929248444;2097.745659034957;-9.880165245071645;237.30733475492835;7.885423;63.137675;-1.0;True;00:05:00;2019-04-10 05:36:00;7;2;7;UFDRS;encs_north;1;1.0;;
894;85;257156040;257037570;257156040;;;;0.0;;0.0;;0.0;;0.0;0.0;3.248578869047619;4.175267857142858;False;True;3;8;1158.672037290978;208.4;20.0;192.5;15.0;0.340388842558623;64.49639309362846;False;False;5;5;560.8241881374223;;;;;0.0;0.0;47.77084446575082;327.5208444657508;228.63973845330293;142.75593318521172;331.6309331852117;10.18342;64.18294;-1.0;True;00:07:00;2019-04-11 13:43:00;12;2;9;UM0ND;encs_north;3;3.0;./img/257156040-257037570-UM0ND_-1.0.png;False
