Unnamed: 0;n_ships;own_mmsi;obst_mmsi;own_name;obst_name;own_callsign;obst_callsign;own_length;obst_length;own_width;obst_width;own_type;obst_type;own_nav_status;obst_nav_status;own_speed;obst_speed;multi_man_own;maneuver_made_own;maneuver_index_own;maneuver_stop_idx_own;r_maneuver_own;pre_man_dist_own;pre_man_t_cpa_own;post_man_dist_own;post_man_t_cpa_own;delta_speed_own;delta_course_own;multi_man_obst;maneuver_made_obst;maneuver_index_obst;maneuver_stop_idx_obst;r_maneuver_obst;pre_man_dist_obst;pre_man_t_cpa_obst;post_man_dist_obst;post_man_t_cpa_obst;delta_speed_obst;delta_course_obst;alpha_start;beta_start;r_cpa;alpha_cpa;beta_cpa;lon_maneuver;lat_maneuver;COLREG;single_COLREG_type;time;date_cpa;cpa_idx;start_idx;stop_idx;case;dataset;COLREGS_not_filt;COLREGS_filt;img_name;img_class
13983;15;304080887;219007348;304080887;219007348;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.027900390625;1.2411474609375;True;True;104;110;10651.380703927542;1344.9;118.0;3052.6;119.0;-0.1295069756869988;-7.527092813856415;True;False;107;107;8796.50390837178;;;;;0.0;0.0;-144.3553467770469;10.832153222953153;4303.602557160687;53.55234936174645;106.70859936174644;8.506756;57.19058;-2.0;True;00:16:00;2018-06-09 08:54:00;121;99;115;NZELD;encs_south\2018-06\2018-06-09 - 2018-06-16;1;1.0;./img/304080887-219007348-NZELD_-2.0.png;False
13986;15;205453000;219009799;205453000;219009799;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.479912367724866;1.511515480324074;False;True;48;53;2079.237737729865;1601.0;50.0;1574.4;0.0;-0.1472177051940111;7.440360527584997;False;True;45;50;3121.047234503188;1680.9;49.0;1483.0;0.0;-0.0180318093281764;3.007312890707874;115.22986236076328;1.7298623607633032;1316.168245324282;-110.31147521049265;81.93852478950737;9.606372;57.58816;-2.0;True;00:21:00;2018-06-09 08:11:00;52;28;49;D6F8H;encs_south\2018-06\2018-06-09 - 2018-06-16;1;1.0;./img/205453000-219009799-D6F8H_-2.0.png;False
13992;5;220574000;259490000;FJORD CAT;SUPERSPEED 1;OZCR2;JWNH;91.0;212.0;26.0;26.0;49.0;60.0;0.0;0.0;18.58162615740741;13.734594907407406;False;False;7;7;2933.715821275128;;;;;0.0;0.0;False;False;7;7;2933.715821275128;;;;;0.0;0.0;-166.3031015253461;13.25939847465387;1245.9786996574212;-93.2534069317506;87.55909306824941;8.854667;57.859833;-2.0;True;00:12:00;2018-06-09 07:42:00;16;1;13;UP5Z7;encs_south\2018-06\2018-06-09 - 2018-06-16;1;1.0;;
13997;17;231200000;219593000;NORROENA;219593000;OZ2040;;165.0;0.0;34.0;0.0;69.0;0.0;0.0;0.0;9.8622904265873;4.251343625992064;False;False;8;8;4805.013714860759;;;;;0.0;0.0;False;False;8;8;4805.013714860759;;;;;0.0;0.0;131.58230311395872;337.08230311395874;1322.243324808259;66.71077274679334;271.58577274679334;9.77764;57.6278;-2.0;True;00:14:00;2018-06-09 07:46:00;18;1;15;8P7JY;encs_south\2018-06\2018-06-09 - 2018-06-16;2;2.0;;
14005;6;259983000;257633590;259983000;257633590;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.244398279671716;3.9870357875631295;False;True;21;27;975.5485123764976;225.4;23.0;229.5;0.0;-0.1284735626525788;8.004785813518158;False;True;7;12;2832.6251516923307;1414.0;14.0;1080.3;17.0;0.0047505134987089;6.455864253792937;-158.0294084154983;11.47059158450172;346.42335371622954;-77.20547544440672;99.4820245555933;7.342974;57.93041;-2.0;True;00:22:00;2018-06-09 08:13:00;28;2;24;UNNED;encs_south\2018-06\2018-06-09 - 2018-06-16;1;1.0;./img/259983000-257633590-UNNED_-2.0.png;False
14006;13;205453000;219009799;205453000;219009799;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.46689814814815;1.5022045717592591;False;True;15;20;2079.4614422970203;1601.0;17.0;1574.4;0.0;-0.1472177051940111;7.44714183433103;False;True;12;17;3122.4723441529472;1680.9;16.0;1483.0;0.0;-0.0180318093281764;2.995709656714744;145.9971735237179;5.372173523717908;1316.6462395039896;-110.27828459587435;81.97171540412558;9.606372;57.58816;-2.0;True;00:15:00;2018-06-09 08:11:00;19;1;16;PYLDI;encs_south\2018-06\2018-06-09 - 2018-06-16;1;1.0;./img/205453000-219009799-PYLDI_-2.0.png;False
14017;9;211233870;219787000;211233870;HM74 OESTERSTRAND;;OZRN;0.0;20.0;0.0;4.0;0.0;30.0;0.0;0.0;5.996493055555556;1.692770675505051;False;False;6;6;5845.929066452997;;;;;0.0;0.0;False;True;2;7;6735.012654776531;2214.1;31.0;3763.0;22.0;-0.4111708612583328;-8.794799533938448;122.06684089706462;331.81684089706454;3416.183767012542;88.03624608619124;269.2862460861913;8.358718;57.17016;-2.0;True;00:11:00;2018-06-09 08:35:00;24;1;12;8NUOS;encs_south\2018-06\2018-06-09 - 2018-06-16;1;1.0;;
14037;11;212979000;265781000;212979000;265781000;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.536799516908214;1.4339876773852656;False;False;24;24;6071.882398400022;;;;;0.0;0.0;False;True;30;35;4218.093532628219;2596.5;39.0;2402.5;39.0;-0.0063247901820165;-13.18844962322808;127.90578639454084;1.9057863945408489;2331.298865439608;-135.5152105030127;84.48478949698726;9.760537;57.8932;-2.0;True;00:23:00;2018-06-09 17:37:00;41;13;36;ZL6J5;encs_south\2018-06\2018-06-09 - 2018-06-16;2;2.0;;
14046;11;212979000;265781000;212979000;265781000;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.550019755747128;1.435406713960728;False;False;15;15;7042.952819663071;;;;;0.0;0.0;False;True;24;29;4216.33061322283;2596.5;33.0;2402.5;33.0;-0.0063247901820165;-13.18844962322808;117.74059211239562;358.7405921123956;2331.2692594378696;-135.5103492726397;84.48965072736024;9.780297;57.8927;-2.0;True;00:29:00;2018-06-09 17:37:00;35;1;30;5XAQK;encs_south\2018-06\2018-06-09 - 2018-06-16;2;2.0;;
14051;32;211927000;230625000;211927000;230625000;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.425789388020831;5.522616373697916;False;False;67;67;10570.076514387209;;;;;0.0;0.0;False;False;67;67;10570.076514387209;;;;;0.0;0.0;-154.9718675671022;20.27813243289782;3194.8614445700155;-54.537604713057725;106.71239528694228;8.562054;57.45252;-2.0;True;00:32:00;2018-06-09 19:42:00;105;51;83;ILQCK;encs_south\2018-06\2018-06-09 - 2018-06-16;2;3.0;;
14054;32;218019000;220581000;218019000;220581000;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.715007161458334;4.219951605902779;False;True;26;31;6722.089381286152;519.1;67.0;4127.5;61.0;-0.0882741164080567;-9.530078039334104;False;False;21;21;7479.713973809427;;;;;0.0;0.0;-161.4904190241656;15.259580975834416;4697.02743551706;-119.88827375551288;70.61172624448714;8.278203;57.659382;-2.0;True;00:40:00;2018-06-09 18:50:00;53;1;41;ILQCK;encs_south\2018-06\2018-06-09 - 2018-06-16;1;2.0;./img/218019000-220581000-ILQCK_-2.0.png;True
14061;32;244036000;636016683;244036000;636016683;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.182516571969696;6.934952256944445;False;False;23;23;4346.683343654101;;;;;0.0;0.0;False;False;23;23;4346.683343654101;;;;;0.0;0.0;162.15635861793703;339.15635861793703;1562.4701277144502;87.07274576177551;267.0727457617755;8.246268;57.42122;-2.0;True;00:44:00;2018-06-09 18:57:00;60;1;45;ILQCK;encs_south\2018-06\2018-06-09 - 2018-06-16;1;2.0;;
14069;32;563044200;257629600;563044200;257629600;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.4276528742283965;1.028888888888889;False;False;10;10;9304.716396537831;;;;;0.0;0.0;False;False;10;10;9304.716396537831;;;;;0.0;0.0;130.3159335016237;328.3159335016237;4499.128851233312;63.27926165029535;264.2792616502953;8.117608;57.709467;-2.0;True;00:18:00;2018-06-09 18:32:00;35;1;19;ILQCK;encs_south\2018-06\2018-06-09 - 2018-06-16;2;2.0;;
14076;21;235111726;219023692;235111726;219023692;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.434287574404762;3.250923342427249;False;False;26;26;6913.925097222275;;;;;0.0;0.0;False;False;26;26;6913.925097222275;;;;;0.0;0.0;-152.2557375817467;1.494262418253288;3546.177976357081;140.3092919722447;293.5592919722447;10.3951;57.845;-2.0;True;00:42:00;2018-06-09 19:55:00;52;5;47;Z0BV7;encs_south\2018-06\2018-06-09 - 2018-06-16;2;2.0;;
14080;21;257694000;259526000;257694000;259526000;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.569969618055556;5.847535264756944;False;False;9;9;5021.7542313418735;;;;;0.0;0.0;False;False;9;9;5021.7542313418735;;;;;0.0;0.0;164.80786782940385;333.62036782940385;3940.4629943700775;102.63643584655571;278.44893584655574;9.974535;57.82155;-2.0;True;00:16:00;2018-06-09 19:49:00;46;1;17;Z0BV7;encs_south\2018-06\2018-06-09 - 2018-06-16;1;3.0;;
14101;16;219551000;257268000;219551000;257268000;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.012740162037037;4.770668402777778;False;False;7;7;5302.628330365988;;;;;0.0;0.0;False;False;7;7;5302.628330365988;;;;;0.0;0.0;-145.09275028444708;31.407249715552915;2876.728622932654;-81.42764267768456;95.19735732231548;9.504941;57.522971;-2.0;True;00:12:00;2018-06-09 21:05:00;30;1;13;Q3Q95;encs_south\2018-06\2018-06-09 - 2018-06-16;1;4.0;;
14110;11;212882000;231103000;212882000;231103000;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.798771081349207;5.945967261904762;False;False;4;4;3349.9717148059617;;;;;0.0;0.0;False;False;4;4;3349.9717148059617;;;;;0.0;0.0;-135.67676109796886;39.19823890203117;2182.9542116132443;-98.03083905454793;80.96916094545203;8.911884;57.3403;-2.0;True;00:07:00;2018-06-09 21:42:00;27;1;8;223P2;encs_south\2018-06\2018-06-09 - 2018-06-16;3;4.0;;
14112;11;212882000;231843000;212882000;231843000;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.378956734283627;4.632432611476608;False;True;25;31;3320.0896975834867;2091.8;43.0;1114.7;49.0;-0.0787398591689942;-6.084348618499399;False;False;20;20;3917.984677101225;;;;;0.0;0.0;177.7101633912894;352.9601633912894;1249.172606167778;84.6279047385514;265.62790473855136;8.78485;57.2882;-2.0;True;00:38:00;2018-06-09 22:01:00;46;1;39;223P2;encs_south\2018-06\2018-06-09 - 2018-06-16;4;4.0;./img/212882000-231843000-223P2_-2.0.png;False
14115;11;231103000;231843000;231103000;231843000;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.923077546296296;4.702343749999999;False;False;8;8;5052.97709177471;;;;;0.0;0.0;False;False;8;8;5052.97709177471;;;;;0.0;0.0;148.78872535895448;329.1637253589545;4215.981283165284;105.55446896186636;280.5544689618663;8.881427;57.3036;-2.0;True;00:15:00;2018-06-09 22:00:00;45;1;16;223P2;encs_south\2018-06\2018-06-09 - 2018-06-16;3;4.0;;
14123;11;236691000;231103000;236691000;231103000;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.26326388888889;5.923077546296296;False;False;8;8;2298.625156479413;;;;;0.0;0.0;False;False;8;8;2298.625156479413;;;;;0.0;0.0;-173.06065298483134;10.189347015168666;1326.7459176496482;-109.9608959370145;76.28910406298547;8.907038;57.318933;-2.0;True;00:15:00;2018-06-09 21:36:00;21;1;16;223P2;encs_south\2018-06\2018-06-09 - 2018-06-16;2;3.0;;
