own_mmsi;obst_mmsi;own_length;obst_length;own_speed;obst_speed;r_maneuver_obst;r_cpa;COLREG;COLREGS_not_filt;COLREGS_filt
257038590;259134000;82.0;37.65;7.726788837448559;4.776920331790124;5732.8012358706455;1294.83472690533;-2.0;1;1.0
257906000;236668000;78.0;90.0;6.1062453258547;4.234273504273505;3435.1801262815898;2170.1480963289127;-2.0;1;1.0
257906000;257589600;78.0;33.19;6.012318250868056;3.951526150173612;1656.1011110436468;201.8099105594165;-2.0;2;3.0
311000752;304145000;77.7;90.0;5.624056712962962;5.092196180555555;4493.769397732821;4374.269681901198;-2.0;1;1.0
236669000;257882000;90.0;63.17;6.841508246527777;4.797127459490741;1372.1968845613958;440.7701668670448;-2.0;1;1.0
257684700;259279000;41.0;45.0;14.147222222222222;3.799195188492063;3618.4800524529646;1540.0377787573912;-2.0;2;2.0
231766000;257071530;95.55;112.0;8.06398365162037;5.767404513888889;1603.31829965232;878.3681232831744;-2.0;1;1.0
257998600;257451500;0.0;;3.1586085069444447;1.2963598090277777;3311.5726188625235;3244.6093339568606;-2.0;2;2.0
257928800;259983000;17.0;90.0;16.56269965277778;6.173333333333332;2111.7114812397986;348.191355435489;-2.0;1;1.0
257130000;215349000;101.26;150.0;7.688167613636364;2.8670778093434346;3368.634448853124;526.1558799443396;-2.0;1;1.0
258043000;215349000;48.0;150.0;5.060545789930556;2.9904595269097225;3288.2787914044025;2182.5153195338644;-2.0;2;2.0
258465000;257057960;136.0;108.0;6.49773189484127;4.306462673611111;4210.710463805372;1545.6134348536184;-2.0;3;3.0
257060100;257053240;0.0;13.0;12.715083912037036;3.661397569444445;1614.7604714012532;424.592051268038;-2.0;1;1.0
257031990;249377000;15.0;0.0;14.59609192251462;6.476457876461988;4932.134390910289;302.3363028152601;-2.0;3;3.0
257031990;257923000;15.0;25.jun;14.496883680555555;3.489916087962964;2817.001597443636;1093.5416452975169;-2.0;2;3.0
257684700;258210000;41.0;108.55;13.63966765873016;4.960714285714286;1473.1040017595535;584.3280328719477;-2.0;1;1.0
257586000;220461000;70.0;76.25;5.920465133101852;3.176761429398148;4928.859543545543;3307.595516383464;-2.0;2;3.0
257586000;259086000;70.0;34.0;5.920465133101852;3.151139684606482;5371.511180291818;3039.441318729479;-2.0;2;3.0
257168240;257035960;;70.3;5.174989583333334;2.24265625;1373.836005497012;1002.7749149235798;-2.0;1;1.0
257684700;257046470;41.0;21.0;15.457447916666668;2.9835098379629628;2496.831644304432;570.1789543643274;-2.0;1;1.0
257178000;259531000;82.0;37.0;6.247869318181818;5.050909090909092;770.5098117480405;315.8866885451172;-2.0;2;2.0
257177000;257589600;46.55;33.19;2.675044126157408;1.6376146556712965;5378.352168647938;4578.699878786554;-2.0;3;3.0
257684700;257594600;41.0;37.0;15.532264957264958;4.760466079059829;1311.0330964548534;702.0709935611928;-2.0;3;4.0
257333000;246090000;41.0;90.0;18.55462606837607;5.599529914529915;9566.985000510873;648.4810560070357;-2.0;1;1.0
258177000;257574700;37.6;okt.46;16.33484775641025;3.755382612179487;6495.959523426856;980.1289915108086;-2.0;1;1.0
257266000;257659000;46.0;69.86;5.7109544665404055;4.616115845959596;1151.0725520139915;530.658129118928;-2.0;4;5.0
230995000;257302140;165.75;37.0;8.883544560185184;4.132636718750001;2700.0560179374047;949.7753681792352;-2.0;1;1.0
257333000;257042600;41.0;okt.63;16.944513888888885;5.0315078125;4184.552622443657;730.0836732868311;-2.0;1;1.0
257333000;259983000;41.0;90.0;16.010846688034185;5.507709001068376;5217.623057485085;1237.1560330047294;-2.0;1;1.0
257391000;257044620;60.0;66.4;5.473206597222222;4.301237847222223;3871.139741729805;3833.324168394825;-2.0;1;1.0
257684700;229061000;41.0;119.0;16.836572420634923;7.650064484126984;6212.231409083214;2974.8074307423667;-2.0;1;2.0
255806165;236730000;135.0;88.0;8.743947916666666;5.648439236111111;2427.1578543638234;2028.133932954136;-2.0;2;4.0
229061000;257151720;119.0;12.feb;7.3182518115942035;3.6279779023248784;3168.3758441826308;589.7610787429091;-2.0;4;4.0
229061000;257153720;119.0;12.jan;7.323525883838385;3.0047775607638885;3872.9277000739376;573.3529802835247;-2.0;4;4.0
257684700;259279000;41.0;45.0;15.974571759259256;4.69095630787037;3072.7254254163327;963.3003789057676;-2.0;1;1.0
258729000;257684700;75.0;41.0;7.159903492647059;3.9519546568627457;1763.2933420165812;289.5721844376631;-2.0;3;3.0
258729000;259460000;75.0;20.apr;7.147964409722222;3.955684799382716;1697.078601597463;353.4996605373191;-2.0;3;3.0
257916600;257088160;40.0;;5.727883391203704;4.260912905092593;583.4403225694966;218.99691778652817;-2.0;1;1.0
257743600;257244900;;15.0;10.826376157407408;4.122521990740741;4088.1860537407065;1378.589645253439;-2.0;3;3.0
257743600;258219280;;;10.80668258101852;3.6438140190972224;3979.4461637268055;671.7000521065918;-2.0;3;3.0
257304900;257186500;24.mai;;17.0441875;3.678277777777778;3714.006194125151;425.4255869126852;-2.0;1;1.0
257304900;257015700;24.mai;97.0;17.15886574074074;5.998502604166668;12145.344057703747;1223.440958935084;-2.0;3;3.0
257304900;257186500;24.mai;;17.098132716049385;3.658271604938272;3764.200103607663;428.4104807308077;-2.0;2;3.0
257397400;257213920;64.49;12.jan;4.561675347222223;3.5244133391203705;96.39128591319808;67.23109399675221;-2.0;1;1.0
258177000;257700800;37.6;25.0;13.590577256944444;5.2556394675925935;5002.079692487917;2217.940975319228;-2.0;1;1.0
257333000;258293000;41.0;71.96;15.984842785493829;5.167442611882716;4582.451445460169;404.394522712662;-2.0;1;1.0
244140388;257189640;110.0;14.95;6.305963541666666;3.0424565972222224;936.6952172398468;247.21897176389723;-2.0;1;1.0
