own_mmsi;obst_mmsi;own_speed;obst_speed;r_maneuver_own;r_maneuver_obst;r_cpa;COLREG;pre_man_t_cpa_own
258296000;229061000;8.609480406746032;1.962252449156746;4105.460074096441;2894.5976110678985;1312.9814202798132;-2.0;0.0
257287000;258841000;7.634275173611111;3.2924444444444445;1250.964655775692;1499.6941188122344;1140.496006130668;-2.0;0.0
259386000;257144700;7.912798611111111;2.1397673611111108;1445.030259198746;1445.030259198746;372.7262400207405;-2.0;5.0
258031000;219011205;5.797834821428571;3.138053695436508;437.98407505297087;863.3275739833635;362.5278472062352;-2.0;8.0
314292000;258356000;6.978827401620369;4.359883174189815;1024.4444006387118;1849.8726983227791;259.6638596339544;-2.0;9.0
257055930;257774600;8.616944444444444;5.113095486111112;2306.8414098069247;1491.1388701257797;520.9942993929951;-2.0;8.0
257028000;259405000;15.124666666666666;5.191467881944444;4373.988872871079;3664.0166866432287;1151.535170978289;-2.0;0.0
311411000;266120000;7.021362847222222;6.456679687499999;3164.7101115268047;3040.405502560471;2936.444920307552;-2.0;0.0
258352500;257106900;16.81590277777778;3.755042534722224;6958.314552389818;3577.365021912075;408.40749258553245;-2.0;7.0
257952600;257613890;18.211333333333336;2.665063368055556;827.4628692575864;2673.513381301841;212.660410043809;-2.0;0.0
258271000;259216000;6.919076822916667;1.018495754665799;2298.586741891636;984.1387757831744;83.84235206624378;-2.0;12.0
258999000;257056190;17.129392361111112;8.908998842592593;1382.336084315249;1382.336084315249;221.2213823300092;-2.0;0.0
259299000;257029700;15.69412808641975;6.081787229938272;3089.4075370530177;549.2715630724017;215.40522277790723;-2.0;9.0
219830000;257055660;7.51088888888889;5.386796006944445;2412.625692062484;3020.2457664898748;885.6535665823334;-2.0;0.0
258271000;259216000;8.393023313492064;7.708628472222223;3710.09016062953;3671.09612105158;70.17214547098236;-2.0;0.0
219830000;257055660;7.664418402777779;4.805232638888889;1988.746464484601;2197.8963851828908;879.1470639204854;-2.0;0.0
257056190;258166000;9.046413690476191;5.00836929563492;1812.1859314099124;2315.261188289557;492.2512061945563;-2.0;19.0
257056190;314292000;9.246115845959595;7.445194917929293;828.5340427526204;1041.254786303523;591.9732510848764;-2.0;16.0
259299000;257029700;17.53934027777778;6.49084201388889;2143.3969021158914;2143.3969021158914;472.3816465528772;-2.0;16.0
259299000;258166000;17.150827546296295;4.760218750000001;6803.039758813703;6004.205068116853;750.6138820991812;-2.0;0.0
219347000;257062170;11.419594907407408;7.0307407407407405;2281.0834114516715;1658.1688755974112;1070.3695296485191;-2.0;0.0
