mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
248375000,12257.3,3620.65,1500,0.979649,0.98964,5.34814e-06,0,1,0,0,0,0.0525357,0.947464,0
257787000,11311.7,2841.83,1500,0.980034,0.98965,1.74382e-05,1,0,0,0,0,0.0472421,0.901526,0.0512317
248375000,12091.4,3416.06,1560,0.979956,0.98967,1.2597e-05,0,1,0,0,0,0.0531313,0.946869,0
257787000,10945.3,2920.6,1560,0.97896,0.9896,0,1,0,0,0,0,0.0491281,0.90058,0.0502923
248375000,11869.5,3239.13,1620,0.980365,0.98973,8.03377e-06,0,1,0,0,0,0.0536893,0.946311,0
257787000,10585.4,3006.56,1620,0.979732,0.98937,0,1,0,0,0,0,0.0473539,0.903031,0.0496153
248375000,11629.3,3078.68,1680,0.979913,0.98982,9.3188e-06,0,1,0,0,0,0.0526928,0.947307,0
257787000,10221,3101.61,1680,0.979176,0.98984,0,1,0,0,0,0,0.0488451,0.900749,0.0504059
248375000,11387.9,2914.07,1740,0.979703,0.99016,1.25898e-05,0,1,0,0,0,0.0524664,0.947534,0
257787000,9849.85,3194.35,1740,0.979343,0.98961,0.000134651,1,0,0,0,0,0.0498772,0.900586,0.0495364
248375000,11136.9,2749.2,1800,0.979838,0.98998,1.15503e-05,0,1,0,0,0,0.0526542,0.947346,0
257787000,9482.77,3291.93,1800,0.980373,0.98971,1.71775e-05,1,0,0,0,0,0.0446647,0.905149,0.0501865
248375000,10895.1,2593.21,1860,0.980108,0.98987,1.139e-05,0,1,0,0,0,0.0521056,0.947894,0
257787000,9121.16,3396.71,1860,0.979549,0.98975,0,1,0,0,0,0,0.0479989,0.902042,0.0499595
248375000,10635,2440.8,1920,0.97974,0.99015,1.14226e-05,0,1,0,0,0,0.0514918,0.948508,0
257787000,8752.2,3502.97,1920,0.97995,0.98997,1.71825e-05,1,0,0,0,0,0.0490844,0.901853,0.0490629
248375000,10382.6,2295.98,1980,0.979938,0.98975,1.22519e-05,0,1,0,0,0,0.052577,0.947423,0
257787000,8391.38,3607.75,1980,0.980563,0.9903,0,1,0,0,0,0,0.0474742,0.902734,0.0497922
248375000,10122.1,2143.27,2040,0.980179,0.98996,9.69847e-06,0,1,0,0,0,0.0522359,0.947764,0
257787000,8030.12,3714.04,2040,0.980151,0.99039,1.69883e-05,1,0,0,0,0,0.0533449,0.895218,0.0514372
248375000,9869.28,1993.76,2100,0.980096,0.99046,9.26553e-06,0,1,0,0,0,0.0539929,0.946007,0
